,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
1254096,56,63,2021,Mumbai Indians,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi"
1254095,50,37,2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Dubai International Cricket Stadium
1254094,30,51,2021,Chennai Super Kings,Punjab Kings,"Zayed Cricket Stadium, Abu Dhabi"
1254093,41,56,2021,Rajasthan Royals,Mumbai Indians,Sharjah Cricket Stadium
1254092,39,44,2021,Delhi Capitals,Kolkata Knight Riders,Sharjah Cricket Stadium
1254091,41,47,2021,Sunrisers Hyderabad,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi"
1254090,55,49,2021,Royal Challengers Bangalore,Punjab Kings,Dubai International Cricket Stadium
1254089,44,81,2021,Chennai Super Kings,Rajasthan Royals,Dubai International Cricket Stadium
1254088,83,70,2021,Mumbai Indians,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi"
1254087,41,56,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Dubai International Cricket Stadium
1254086,39,63,2021,Punjab Kings,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
1254085,42,57,2021,Rajasthan Royals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
1254084,49,58,2021,Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
1254083,49,36,2021,Punjab Kings,Royal Challengers Bangalore,"Narendra Modi Stadium, Ahmedabad"
1254082,45,67,2021,Kolkata Knight Riders,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
1254081,47,49,2021,Rajasthan Royals,Mumbai Indians,"Arun Jaitley Stadium, Delhi"
1254080,39,50,2021,Sunrisers Hyderabad,Chennai Super Kings,"Arun Jaitley Stadium, Delhi"
1254079,36,43,2021,Royal Challengers Bangalore,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
1254078,37,42,2021,Punjab Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad"
1254077,51,56,2021,Delhi Capitals,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
1254076,51,65,2021,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
1254075,25,50,2021,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai"
1254074,21,45,2021,Mumbai Indians,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1254073,32,59,2021,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
1254072,54,45,2021,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
1254071,32,50,2021,Punjab Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
1254070,55,39,2021,Mumbai Indians,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
1254069,46,45,2021,Chennai Super Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai"
1254068,59,62,2021,Punjab Kings,Delhi Capitals,"Wankhede Stadium, Mumbai"
1254067,45,57,2021,Royal Challengers Bangalore,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
1254066,53,57,2021,Mumbai Indians,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
1254065,26,32,2021,Punjab Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai"
1254064,36,26,2021,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai"
1254063,47,50,2021,Royal Challengers Bangalore,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
1254062,42,45,2021,Mumbai Indians,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
1254061,46,59,2021,Punjab Kings,Rajasthan Royals,"Wankhede Stadium, Mumbai"
1254060,50,35,2021,Kolkata Knight Riders,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
1254059,33,65,2021,Chennai Super Kings,Delhi Capitals,"Wankhede Stadium, Mumbai"
1254058,41,46,2021,Mumbai Indians,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai"
1237181,41,61,2020,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium
1237180,65,49,2020,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium
1237178,32,48,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sheikh Zayed Stadium
1237177,63,32,2020,Mumbai Indians,Delhi Capitals,Dubai International Cricket Stadium
1216547,59,35,2020,Royal Challengers Bangalore,Mumbai Indians,Sharjah Cricket Stadium
1216546,53,57,2020,Delhi Capitals,Punjab Kings,Sheikh Zayed Stadium
1216545,40,52,2020,Sunrisers Hyderabad,Kolkata Knight Riders,Dubai International Cricket Stadium
