,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
598069,33,45,2013,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598068,76,56,2013,Royal Challengers Bangalore,Chennai Super Kings,Subrata Roy Sahara Stadium
598067,40,47,2013,Pune Team,Delhi Capitals,M Chinnaswamy Stadium
598066,35,51,2013,Punjab Kings,Mumbai Indians,Himachal Pradesh Cricket Association Stadium
598065,21,33,2013,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
598064,58,41,2013,Royal Challengers Bangalore,Punjab Kings,Himachal Pradesh Cricket Association Stadium
598063,49,29,2013,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai"
598062,47,49,2013,Chennai Super Kings,Delhi Capitals,JSCA International Stadium Complex
598061,42,33,2013,Pune Team,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
598060,52,39,2013,Sunrisers Hyderabad,Mumbai Indians,M Chinnaswamy Stadium
598059,40,56,2013,Delhi Capitals,Punjab Kings,"Wankhede Stadium, Mumbai"
598058,37,24,2013,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
598057,22,31,2013,Royal Challengers Bangalore,Kolkata Knight Riders,JSCA International Stadium Complex
598056,37,41,2013,Sunrisers Hyderabad,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
598055,36,37,2013,Pune Team,Mumbai Indians,Subrata Roy Sahara Stadium
598054,40,49,2013,Royal Challengers Bangalore,Delhi Capitals,Feroz Shah Kotla
598053,50,34,2013,Kolkata Knight Riders,Pune Team,Subrata Roy Sahara Stadium
598052,37,38,2013,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
598051,50,49,2013,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598050,41,38,2013,Mumbai Indians,Kolkata Knight Riders,Sawai Mansingh Stadium
598049,42,49,2013,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai"
598048,40,47,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
598047,61,53,2013,Pune Team,Rajasthan Royals,Sawai Mansingh Stadium
598046,32,32,2013,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai"
598045,31,46,2013,Royal Challengers Bangalore,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
598044,26,41,2013,Delhi Capitals,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
598043,34,48,2013,Rajasthan Royals,Kolkata Knight Riders,Subrata Roy Sahara Stadium
598042,30,39,2013,Royal Challengers Bangalore,Pune Team,"MA Chidambaram Stadium, Chepauk, Chennai"
598041,36,36,2013,Chennai Super Kings,Punjab Kings,Shaheed Veer Narayan Singh International Stadium
598040,37,34,2013,Kolkata Knight Riders,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
598039,41,36,2013,Mumbai Indians,Sunrisers Hyderabad,Subrata Roy Sahara Stadium
598038,29,46,2013,Chennai Super Kings,Pune Team,"Wankhede Stadium, Mumbai"
598037,36,55,2013,Mumbai Indians,Punjab Kings,Sawai Mansingh Stadium
598036,55,45,2013,Royal Challengers Bangalore,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai"
598035,37,43,2013,Delhi Capitals,Pune Team,Shaheed Veer Narayan Singh International Stadium
598034,67,63,2013,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
598033,52,35,2013,Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium
598032,29,30,2013,Sunrisers Hyderabad,Rajasthan Royals,"Eden Gardens, Kolkata"
598031,45,45,2013,Punjab Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
598030,40,58,2013,Sunrisers Hyderabad,Chennai Super Kings,"Eden Gardens, Kolkata"
598029,61,42,2013,Kolkata Knight Riders,Mumbai Indians,Feroz Shah Kotla
598028,53,21,2013,Punjab Kings,Delhi Capitals,M Chinnaswamy Stadium
598027,62,43,2013,Royal Challengers Bangalore,Pune Team,"MA Chidambaram Stadium, Chepauk, Chennai"
598026,55,58,2013,Rajasthan Royals,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
598025,48,55,2013,Pune Team,Punjab Kings,Feroz Shah Kotla
598024,24,60,2013,Mumbai Indians,Delhi Capitals,M Chinnaswamy Stadium
598023,31,48,2013,Rajasthan Royals,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
598022,47,27,2013,Kolkata Knight Riders,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
598021,36,33,2013,Punjab Kings,Sunrisers Hyderabad,Feroz Shah Kotla
598020,39,32,2013,Chennai Super Kings,Delhi Capitals,Sawai Mansingh Stadium
598019,58,26,2013,Rajasthan Royals,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune"
598018,25,41,2013,Sunrisers Hyderabad,Pune Team,"Punjab Cricket Association Stadium, Mohali"
598017,43,48,2013,Delhi Capitals,Royal Challengers Bangalore,M Chinnaswamy Stadium
598016,35,45,2013,Punjab Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
598015,48,38,2013,Pune Team,Chennai Super Kings,Sawai Mansingh Stadium
598014,34,48,2013,Punjab Kings,Rajasthan Royals,"Eden Gardens, Kolkata"
598013,48,39,2013,Kolkata Knight Riders,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai"
598012,33,31,2013,Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai"
598011,48,40,2013,Mumbai Indians,Pune Team,Feroz Shah Kotla
598010,29,38,2013,Delhi Capitals,Sunrisers Hyderabad,Subrata Roy Sahara Stadium
598009,44,64,2013,Rajasthan Royals,Pune Team,M Chinnaswamy Stadium
598008,44,43,2013,Kolkata Knight Riders,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
598007,43,38,2013,Punjab Kings,Chennai Super Kings,M Chinnaswamy Stadium
598006,38,46,2013,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai"
598005,35,40,2013,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
598004,40,37,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
598003,24,56,2013,Pune Team,Punjab Kings,Subrata Roy Sahara Stadium
598002,41,36,2013,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
598001,45,39,2013,Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla
598000,38,27,2013,Sunrisers Hyderabad,Pune Team,"Rajiv Gandhi International Stadium, Uppal"
597999,31,38,2013,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
597998,45,46,2013,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata"
548381,54,56,2012,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
548380,52,46,2012,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
548379,30,54,2012,Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium
548378,48,49,2012,Kolkata Knight Riders,Delhi Capitals,Subrata Roy Sahara Stadium
548377,31,44,2012,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium
548376,23,40,2012,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
548375,27,40,2012,Kolkata Knight Riders,Pune Team,Subrata Roy Sahara Stadium
548374,20,44,2012,Punjab Kings,Delhi Capitals,Himachal Pradesh Cricket Association Stadium
548373,41,58,2012,Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
548372,42,51,2012,Royal Challengers Bangalore,Delhi Capitals,Himachal Pradesh Cricket Association Stadium
548371,25,43,2012,Chennai Super Kings,Punjab Kings,Feroz Shah Kotla
548370,32,26,2012,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai"
548369,47,37,2012,Punjab Kings,Delhi Capitals,Feroz Shah Kotla
548368,50,51,2012,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata"
548367,40,32,2012,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
548366,47,44,2012,Deccan Chargers,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
548365,45,33,2012,Rajasthan Royals,Pune Team,Sawai Mansingh Stadium
548364,27,45,2012,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
548363,49,32,2012,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata"
548362,66,50,2012,Royal Challengers Bangalore,Pune Team,Subrata Roy Sahara Stadium
548361,28,36,2012,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium
548360,25,35,2012,Mumbai Indians,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
548359,51,40,2012,Punjab Kings,Deccan Chargers,"Wankhede Stadium, Mumbai"
548358,35,49,2012,Pune Team,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
548357,50,60,2012,Delhi Capitals,Kolkata Knight Riders,Subrata Roy Sahara Stadium
548356,46,46,2012,Deccan Chargers,Royal Challengers Bangalore,Feroz Shah Kotla
548355,52,46,2012,Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium
548354,64,33,2012,Rajasthan Royals,Punjab Kings,"Wankhede Stadium, Mumbai"
548353,68,45,2012,Kolkata Knight Riders,Pune Team,"Punjab Cricket Association Stadium, Mohali"
548352,56,47,2012,Chennai Super Kings,Deccan Chargers,"Eden Gardens, Kolkata"
548351,42,37,2012,Mumbai Indians,Pune Team,"MA Chidambaram Stadium, Chepauk, Chennai"
548350,33,53,2012,Royal Challengers Bangalore,Punjab Kings,Subrata Roy Sahara Stadium
548349,56,61,2012,Rajasthan Royals,Delhi Capitals,M Chinnaswamy Stadium
548348,33,48,2012,Deccan Chargers,Pune Team,Sawai Mansingh Stadium
548347,43,37,2012,Chennai Super Kings,Kolkata Knight Riders,Barabati Stadium
548346,38,31,2012,Deccan Chargers,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
548345,42,40,2012,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai"
548344,46,35,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Feroz Shah Kotla
548343,43,48,2012,Punjab Kings,Chennai Super Kings,"Eden Gardens, Kolkata"
548342,54,49,2012,Delhi Capitals,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
548341,50,44,2012,Deccan Chargers,Pune Team,Feroz Shah Kotla
548339,44,40,2012,Punjab Kings,Mumbai Indians,Subrata Roy Sahara Stadium
548337,28,61,2012,Pune Team,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali"
548336,37,48,2012,Royal Challengers Bangalore,Rajasthan Royals,Subrata Roy Sahara Stadium
548335,39,42,2012,Deccan Chargers,Kolkata Knight Riders,Sawai Mansingh Stadium
548334,39,48,2012,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai"
548333,52,49,2012,Pune Team,Delhi Capitals,Barabati Stadium
548332,41,45,2012,Rajasthan Royals,Chennai Super Kings,Feroz Shah Kotla
548331,41,36,2012,Punjab Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai"
548330,42,53,2012,Chennai Super Kings,Pune Team,"Punjab Cricket Association Stadium, Mohali"
548329,33,64,2012,Deccan Chargers,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
548328,45,53,2012,Punjab Kings,Kolkata Knight Riders,Feroz Shah Kotla
548327,58,42,2012,Pune Team,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
548326,57,62,2012,Deccan Chargers,Rajasthan Royals,M Chinnaswamy Stadium
548325,23,41,2012,Mumbai Indians,Delhi Capitals,Sawai Mansingh Stadium
548324,43,54,2012,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
548323,26,48,2012,Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium
548322,43,56,2012,Chennai Super Kings,Pune Team,"Eden Gardens, Kolkata"
548321,50,34,2012,Deccan Chargers,Delhi Capitals,Subrata Roy Sahara Stadium
548320,45,36,2012,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata"
548319,29,38,2012,Pune Team,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
548318,56,52,2012,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
548317,54,44,2012,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai"
548316,41,50,2012,Chennai Super Kings,Delhi Capitals,Feroz Shah Kotla
548315,60,20,2012,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
548314,45,29,2012,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
548313,38,19,2012,Pune Team,Punjab Kings,Subrata Roy Sahara Stadium
548312,37,27,2012,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
548311,44,45,2012,Chennai Super Kings,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
548310,46,46,2012,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium
548309,57,45,2012,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium
548308,30,27,2012,Pune Team,Mumbai Indians,"Wankhede Stadium, Mumbai"
548307,46,48,2012,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata"
548306,42,53,2012,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
501271,56,47,2011,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai"
501270,68,52,2011,Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
501269,25,62,2011,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Mumbai"
501268,44,25,2011,Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai"
501267,46,54,2011,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata"
501266,23,44,2011,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
501264,58,45,2011,Deccan Chargers,Punjab Kings,Himachal Pradesh Cricket Association Stadium
501263,26,52,2011,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai"
501262,29,44,2011,Pune Team,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai"
501261,41,40,2011,Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk, Chennai"
501260,30,34,2011,Punjab Kings,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium
501259,39,57,2011,Pune Team,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai"
501258,32,87,2011,Rajasthan Royals,Kochi Tuskers Kerala,Holkar Cricket Stadium
501257,43,42,2011,Punjab Kings,Delhi Capitals,Himachal Pradesh Cricket Association Stadium
501256,32,26,2011,Deccan Chargers,Mumbai Indians,M Chinnaswamy Stadium
501255,33,65,2011,Kolkata Knight Riders,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
501254,62,49,2011,Kochi Tuskers Kerala,Punjab Kings,Holkar Cricket Stadium
501253,42,52,2011,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
501252,43,66,2011,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium
501251,39,33,2011,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
501250,50,52,2011,Deccan Chargers,Pune Team,"Rajiv Gandhi International Stadium, Uppal"
501249,55,48,2011,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
501248,34,40,2011,Punjab Kings,Pune Team,"Punjab Cricket Association Stadium, Mohali"
501247,49,79,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,M Chinnaswamy Stadium
501246,50,23,2011,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai"
501245,15,33,2011,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata"
501244,48,38,2011,Royal Challengers Bangalore,Punjab Kings,M Chinnaswamy Stadium
501243,43,29,2011,Deccan Chargers,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
501242,35,43,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium
501241,49,31,2011,Mumbai Indians,Pune Team,"Dr DY Patil Sports Academy, Mumbai"
501240,47,43,2011,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
501239,41,41,2011,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
501238,42,67,2011,Delhi Capitals,Kochi Tuskers Kerala,Feroz Shah Kotla
501237,35,24,2011,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai"
501236,34,64,2011,Chennai Super Kings,Deccan Chargers,Sawai Mansingh Stadium
501235,49,34,2011,Pune Team,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai"
501234,40,45,2011,Punjab Kings,Kolkata Knight Riders,Nehru Stadium
501233,34,37,2011,Delhi Capitals,Kochi Tuskers Kerala,"Eden Gardens, Kolkata"
501232,57,42,2011,Royal Challengers Bangalore,Pune Team,M Chinnaswamy Stadium
501231,31,18,2011,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium
501230,42,41,2011,Kolkata Knight Riders,Delhi Capitals,Feroz Shah Kotla
501229,20,29,2011,Deccan Chargers,Kochi Tuskers Kerala,"Dr DY Patil Sports Academy, Mumbai"
501228,37,28,2011,Pune Team,Chennai Super Kings,Nehru Stadium
501227,42,65,2011,Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla
501226,45,40,2011,Chennai Super Kings,Pune Team,"MA Chidambaram Stadium, Chepauk, Chennai"
501225,32,38,2011,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium
501224,57,41,2011,Mumbai Indians,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
501223,70,46,2011,Delhi Capitals,Punjab Kings,Feroz Shah Kotla
501222,50,57,2011,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
501221,40,44,2011,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai"
501220,77,45,2011,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
501219,45,37,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,"Wankhede Stadium, Mumbai"
501218,33,32,2011,Pune Team,Mumbai Indians,"Eden Gardens, Kolkata"
501216,43,38,2011,Deccan Chargers,Delhi Capitals,Feroz Shah Kotla
501215,42,49,2011,Chennai Super Kings,Kochi Tuskers Kerala,Nehru Stadium
501214,36,26,2011,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata"
501213,63,67,2011,Pune Team,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai"
501212,48,62,2011,Deccan Chargers,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
501211,45,33,2011,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk, Chennai"
501210,44,50,2011,Mumbai Indians,Kochi Tuskers Kerala,"Wankhede Stadium, Mumbai"
501209,31,62,2011,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
501208,41,28,2011,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
501207,37,44,2011,Kochi Tuskers Kerala,Pune Team,"Dr DY Patil Sports Academy, Mumbai"
501206,31,65,2011,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
501205,24,40,2011,Royal Challengers Bangalore,Mumbai Indians,Sawai Mansingh Stadium
501204,30,57,2011,Delhi Capitals,Rajasthan Royals,M Chinnaswamy Stadium
501203,46,30,2011,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata"
501202,36,44,2011,Punjab Kings,Pune Team,"Dr DY Patil Sports Academy, Mumbai"
501201,38,31,2011,Delhi Capitals,Mumbai Indians,Feroz Shah Kotla
501200,61,48,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium
501199,44,31,2011,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
501198,45,52,2011,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
419165,40,33,2010,Chennai Super Kings,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai"
419164,27,33,2010,Deccan Chargers,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai"
419163,39,23,2010,Chennai Super Kings,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai"
419162,54,44,2010,Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai"
419161,42,44,2010,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata"
419160,38,39,2010,Deccan Chargers,Delhi Capitals,Feroz Shah Kotla
419159,49,49,2010,Punjab Kings,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium
419158,46,42,2010,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata"
419157,34,34,2010,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium
419156,43,45,2010,Punjab Kings,Deccan Chargers,Himachal Pradesh Cricket Association Stadium
419155,39,33,2010,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
419154,30,59,2010,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium
419153,22,67,2010,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
419152,44,69,2010,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai"
419151,35,38,2010,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha"
419150,47,34,2010,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium
419149,45,39,2010,Delhi Capitals,Punjab Kings,Feroz Shah Kotla
419148,61,48,2010,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
419147,55,37,2010,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha"
419146,51,56,2010,Mumbai Indians,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
419145,46,32,2010,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium
419144,50,44,2010,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata"
419143,52,70,2010,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium
419142,42,46,2010,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
419141,48,52,2010,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha"
419140,54,38,2010,Delhi Capitals,Royal Challengers Bangalore,"Eden Gardens, Kolkata"
419139,53,69,2010,Kolkata Knight Riders,Punjab Kings,Feroz Shah Kotla
419138,53,40,2010,Mumbai Indians,Deccan Chargers,"Brabourne Stadium, Mumbai"
419137,66,62,2010,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai"
419136,41,51,2010,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
419135,46,59,2010,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata"
419134,52,39,2010,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla
419133,52,56,2010,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
419132,48,45,2010,Punjab Kings,Mumbai Indians,"Brabourne Stadium, Mumbai"
419131,62,36,2010,Delhi Capitals,Kolkata Knight Riders,Feroz Shah Kotla
419130,52,50,2010,Mumbai Indians,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai"
419129,58,58,2010,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera"
419128,64,46,2010,Delhi Capitals,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
419127,50,42,2010,Kolkata Knight Riders,Punjab Kings,"Sardar Patel Stadium, Motera"
419126,55,54,2010,Deccan Chargers,Rajasthan Royals,"Brabourne Stadium, Mumbai"
419125,51,63,2010,Chennai Super Kings,Mumbai Indians,M Chinnaswamy Stadium
419124,53,76,2010,Rajasthan Royals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali"
419123,38,29,2010,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium
419122,41,57,2010,Kolkata Knight Riders,Mumbai Indians,"Brabourne Stadium, Mumbai"
419121,38,42,2010,Punjab Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
419120,47,48,2010,Deccan Chargers,Delhi Capitals,Barabati Stadium
419119,45,55,2010,Mumbai Indians,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai"
419118,56,38,2010,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera"
419117,56,27,2010,Deccan Chargers,Punjab Kings,Feroz Shah Kotla
419116,52,56,2010,Delhi Capitals,Chennai Super Kings,Barabati Stadium
419115,31,59,2010,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium
419114,67,56,2010,Mumbai Indians,Delhi Capitals,Feroz Shah Kotla
419113,31,45,2010,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata"
419112,50,61,2010,Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
419111,47,60,2010,Rajasthan Royals,Delhi Capitals,"Sardar Patel Stadium, Motera"
419110,57,34,2010,Deccan Chargers,Chennai Super Kings,"Eden Gardens, Kolkata"
419109,24,61,2010,Royal Challengers Bangalore,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai"
419108,44,39,2010,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali"
419107,69,39,2010,Mumbai Indians,Rajasthan Royals,"Brabourne Stadium, Mumbai"
419106,38,62,2010,Kolkata Knight Riders,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai"
392239,31,36,2009,Deccan Chargers,Royal Challengers Bangalore,New Wanderers Stadium
392238,52,59,2009,Chennai Super Kings,Royal Challengers Bangalore,New Wanderers Stadium
392237,49,84,2009,Delhi Capitals,Deccan Chargers,SuperSport Park
392236,33,64,2009,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park
392235,30,60,2009,Mumbai Indians,Delhi Capitals,SuperSport Park
392234,50,29,2009,Chennai Super Kings,Punjab Kings,Kingsmead
392233,46,29,2009,Rajasthan Royals,Kolkata Knight Riders,Kingsmead
392232,37,27,2009,Delhi Capitals,Royal Challengers Bangalore,New Wanderers Stadium
392231,54,56,2009,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park
392230,35,24,2009,Delhi Capitals,Rajasthan Royals,OUTsurance Oval
392229,39,46,2009,Punjab Kings,Deccan Chargers,New Wanderers Stadium
392228,31,50,2009,Kolkata Knight Riders,Deccan Chargers,St George's Park
392227,49,35,2009,Mumbai Indians,Chennai Super Kings,New Wanderers Stadium
392226,38,37,2009,Delhi Capitals,Punjab Kings,OUTsurance Oval
392225,42,26,2009,Rajasthan Royals,Mumbai Indians,Kingsmead
392224,52,33,2009,Chennai Super Kings,Royal Challengers Bangalore,Kingsmead
